czas;pamiec
4;409600
2;409600
3;409600
1038;409600
5;409600
360;409600
1087;819200
1025;819200
1026;819200
1029;819200
1031;819200
1034;819200
1036;819200
1040;819200
1040;819200
1042;819200
1045;819200
1048;819200
1051;819200
1053;819200
1056;819200
1055;819200
1059;819200
1061;819200
1064;819200
1066;819200
1068;819200
1068;819200
1072;819200
1071;819200
1074;819200
1079;819200
1079;819200
1081;819200
1083;819200
1087;819200
1086;819200
1086;819200
1088;819200
1092;819200
1097;819200
1097;819200
1099;819200
1103;819200
1108;819200
1088;819200
1091;819200
1093;819200
1097;819200
1099;819200
1102;819200
1104;819200
1108;819200
1107;819200
1110;819200
1112;819200
1116;819200
1118;819200
1121;819200
1123;819200
1125;819200
1129;819200
1131;819200
1134;819200
1138;819200
1137;819200
588;921600
593;921600
587;921600
586;921600
590;921600
590;921600
589;921600
588;921600
591;921600
587;921600
587;921600
586;921600
586;921600
584;921600
587;921600
586;921600
586;921600
585;921600
585;921600
584;921600
584;921600
584;921600
583;921600
582;921600
582;921600
581;921600
581;921600
581;921600
581;921600
580;921600
580;921600
579;921600
579;921600
579;921600
578;921600
577;921600
577;921600
577;921600
577;921600
576;921600
576;921600
575;921600
575;921600
575;921600
575;921600
574;921600
574;921600
573;921600
573;921600
573;921600
572;921600
571;921600
572;921600
572;921600
571;921600
570;921600
571;921600
570;921600
570;921600
569;921600
569;921600
569;921600
568;921600
568;921600
568;921600
567;921600
567;921600
566;921600
566;921600
566;921600
565;921600
564;921600
564;921600
564;921600
564;921600
563;921600
563;921600
563;921600
563;921600
562;921600
562;921600
561;921600
561;921600
561;921600
560;921600
560;921600
559;921600
559;921600
558;921600
559;921600
558;921600
558;921600
557;921600
557;921600
557;921600
538;921600
537;921600
537;921600
536;921600
493;921600
497;921600
536;921600
535;921600
495;921600
491;921600
493;921600
489;921600
533;921600
532;921600
502;921600
532;921600
532;921600
159;921600
42;2048000
35;2048000
37;2048000
45;2048000
50;2048000
46;2048000
49;2048000
45;2048000
50;2048000
50;2048000
49;2048000
50;2048000
52;2048000
54;2048000
53;2048000
55;2048000
55;2048000
58;2048000
61;2048000
61;2048000
59;2048000
58;2048000
62;2048000
61;2048000
62;2048000
63;2048000
62;2048000
62;2048000
67;2048000
68;2048000
70;2048000
70;2048000
72;2048000
75;2048000
68;2048000
71;2048000
76;2048000
72;2048000
80;2048000
74;2048000
81;2048000
81;2048000
83;2048000
80;2048000
83;2048000
88;2048000
91;2048000
83;2048000
90;2048000
94;2048000
94;2048000
98;2048000
97;2048000
97;2048000
99;2048000
93;2048000
99;2048000
92;2048000
101;2048000
101;2048000
101;2048000
96;2048000
104;2048000
104;2048000
97;2048000
100;2048000
108;2048000
108;2048000
101;2048000
102;2048000
109;2048000
108;2048000
111;2048000
110;2048000
104;2048000
104;2048000
104;2048000
39;2048000
37;2048000
113;2048000
111;2048000
111;2048000
112;2048000
112;2048000
112;2048000
112;2048000
110;2048000
111;2048000
113;2048000
103;2048000
106;2048000
106;2048000
111;2048000
111;2048000
106;2048000
111;2048000
112;2048000
106;2048000
35;2048000
35;2048000
35;2048000
35;2048000
35;2048000
106;2048000
109;2048000
109;2048000
105;2048000
110;2048000
108;2048000
105;2048000
104;2048000
109;2048000
107;2048000
107;2048000
106;2048000
103;2048000
105;2048000
106;2048000
105;2048000
105;2048000
35;2048000
35;2048000
35;2048000
35;2048000
35;2048000
35;2048000
31;2048000
35;2048000
35;2048000
36;2048000
36;2048000
35;2048000
36;2048000
36;2048000
36;2048000
35;2048000
40;2048000
32;2048000
35;2048000
35;2048000
36;2048000
35;2048000
36;2048000
32;2048000
32;2048000
35;2048000
36;2048000
35;2048000
32;2048000
35;2048000
32;2048000
35;2048000
36;2048000
36;2048000
35;2048000
36;2048000
35;2048000
36;2048000
35;2048000
36;2048000
35;2048000
36;2048000
35;2048000
36;2048000
35;2048000
36;2048000
35;2048000
36;2048000
35;2048000
36;2048000
36;2048000
36;2048000
36;2048000
33;2048000
36;2048000
36;2048000
36;2048000
36;2048000
35;2048000
36;2048000
32;2048000
36;2048000
35;2048000
36;2048000
32;2048000
36;2048000
35;2048000
36;2048000
